WORLD_WATER_PER_LEAF_KG ;2;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
T.Level;PRODUCER;PRODUCER;PRODUCER;PRODUCER;PRODUCER;PRODUCER;PRODUCER;PRODUCER;PRIMARY;PRIMARY;SECONDARY
Init Specie;PLANT_TREE;TREE_TROPICAL;TREE_CONTINENTAL;TREE_CONTINENTAL_2;PLANT_DESERT;PLANT_BUSH;PLANT_BUSH_2;PLANT_ARTIC;PRIMARY_SMALL;PRIMARY_TINY;SECONDARY_SMALL
GEN_START;;;;;;;;;;;
TROPHIC_LEVEL;0;0;0;0;0;0;0;0;1;1;2
INITIAL_SPECIE;1;2;3;11;9;4;5;10;7;6;8
INITIAL_SPECIE_NAME;Tree;Tree tropical;Tree continental;Tree continental 2;Plant desert;Plant bush;Plant bush 2;Plant artic;Primary small;Primary tiny;Secondary small
SPECIE_CODE;;;;;;;;;;;
PARENT_SPECIE_CODE;;;;;;;;;;;
EMPTY5;;;;;;;;;;;
EMPTY6;;;;;;;;;;;
EVOTRANSPIRATION_FACTOR;30;30;30;30;3;30;30;30;;;
DEPRECATED_10;;;;;;;;;;;
AGE_DEAD;12;6;10;10;15;3;3;3;4;3;7
REPRODUCTION_INTERVAL;1;1;1;1;1;1;1;1;0,05;0,05;1
REPRODUCTION_DISTANCE;64;64;128;128;64;64;64;64;1;1;1
REPRODUCTION_QUANTITY;1;1;1;1;1;4;1;4;2;4;1
BIOMASS_BIRTH;3;5;5;5;4;4;4;0,2;2;1;5
BIOMASS_ADULT;800;250;200;300;8;8;10;10;10;5;50
ALLOCATION_DIGESTIVE_ANIMALS;;;;;;;;;0,2;0,4;0,2
ALLOCATION_REPRODUCTIVE;0,1;0,1;0,1;0,1;0,2;0,1;0,1;0,1;0,2;0,2;0,2
ALLOCATION_RESERVE;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4
ANIMAL_ANABOLISM_BIOMASS_CONVERSION;;;;;;;;;0,1;0,1;0,1
KC_METABOLIC_RATE;0,2;0,01;0,09;0,8;0,1;0,2;0,4;0,4;0,12;0,12;0,12
TEMPERATURE_OPTIMAL;30;24;15;5;20;25;20;-10;0;0;0
TEMPERATURE_RANGE;15;3;5;10;10;6;5;20;50;50;50
DORMANCY_TEMPERATURE_TRIGGER;;;;;;;;;;;
DORMANCY_CATABOLISM_REDUCTION;0,9;0,9;0,9;0,9;0,1;0,9;0,9;0,9;;;
DORMANCY_MONTHS;;;;;;;;;;;
ANABOLISM_BIOMASS_PER_WATER_L;0,4;0,01;0,05;0,06;1;0,04;0,04;0,04;;;
PLANT_BODY_DENSITY;1600;0;0;400;0;0;0;0;;;
PLANT_BODY_FORM_FACTOR;1,2;0;0;1,2;0;0;0;0;;;
PLANT_HEAD_DENSITY;20;100;100;50;30;30;5;5;;;
PLANT_HEAD_FORM_FACTOR;1;1,3;1;1;1;1;1;1;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
GEN_END;;;;;;;;;;;
Comments;;;;Trunk;High temp, high reserve;;;Low temp, high reserve;;;
;;;;;;;;;;;
;;;;;;;;;;;
Y (producers);3;0;0;0;3;0;0;0;;;
kc;0,2;0,01;0,09;0,8;0,1;0,2;0,4;0,4;;;
ka;0,8;0,02;0,1;0,12;2;0,08;0,08;0,08;;;
LMFa;0,25;0,50;0,90;6,67;0,05;2,50;5,00;5,00;;;
